2024-07-13 15:45:29 [main] INFO  SwagLogin - Login blocked
2024-07-13 15:45:30 [main] INFO  SwagLogin - Error login successful
2024-07-13 15:45:30 [main] INFO  SwagProduct - Product selected from the main menu
2024-07-13 15:45:30 [main] INFO  SwagCart - Product added to cart
2024-07-13 15:45:32 [main] INFO  SwagCart - Error 401 found in DOM
2024-07-13 15:45:33 [main] INFO  SwagLogin - Login successful
2024-07-13 15:45:33 [main] INFO  dropDown - zToa dropdown filter is functional
2024-07-13 15:45:33 [main] INFO  dropDown - aToz dropdown filter is functional
2024-07-13 15:45:34 [main] INFO  SwagLogin - Login successful
2024-07-13 15:45:34 [main] INFO  SwagProduct - Product selected
2024-07-13 15:45:34 [main] INFO  SwagProduct - Assertion successful
2024-07-13 15:45:34 [main] INFO  SwagProduct - Returned back to all products
2024-07-13 15:45:34 [main] INFO  SwagCart - Product added to cart
2024-07-13 15:45:34 [main] INFO  SwagCart - Checkout completed
2024-07-13 15:45:35 [main] INFO  SwagLogin - Login successful
2024-07-13 15:45:35 [main] INFO  SwagProduct - Product selected
2024-07-13 15:45:35 [main] INFO  SwagProduct - Assertion successful
2024-07-13 15:45:35 [main] INFO  SwagCart - Product added to cart
2024-07-13 15:45:36 [main] INFO  SwagCart - Checkout completed
2024-07-13 15:45:42 [main] INFO  SwagLogin - Performance login successful
2024-07-13 15:45:42 [main] INFO  SwagProduct - Performance issue user product selected
2024-07-13 15:45:42 [main] INFO  SwagCart - Product added to cart
2024-07-13 15:45:42 [main] INFO  SwagCart - Checkout completed
2024-07-13 15:45:43 [main] INFO  SwagLogin - Problem login successful
2024-07-13 15:45:43 [main] INFO  SwagProduct - Image asserted successful
2024-07-13 15:45:43 [main] INFO  SwagProduct - Product selected
2024-07-13 15:45:43 [main] INFO  SwagProduct - Assertion successful
2024-07-13 15:45:43 [main] INFO  SwagCart - Product added to cart
2024-07-13 15:45:43 [main] INFO  SwagCart - Checkout error for problem client
